符文名稱,正逆位,關鍵字,解釋語句,心靈指引,行動建議
Fehu（費胡）,正位,財富,當 Fehu 出現於正位時，代表「財富」的能量正悄悄地影響你。,你正處於資源流動的轉折點。財富、能量或創造力正在湧入你身邊，提醒你感恩並善用這份豐盛。,思考你想讓這份能量流向何方。可以嘗試投資、創作、或支持值得的人事物。保持慷慨，同時照顧自己的界線。
Fehu（費胡）,逆位,財富,當 Fehu 出現於逆位時，代表「財富」的能量正悄悄地影響你。,你可能正在面對失落、資源流失或價值感動搖。這是一個回到基礎，重塑安全感的時刻。,檢視你目前的付出與回報是否平衡。停止不再滋養你的關係或投資，讓能量回流到自己身上。
Uruz（烏魯茲）,正位,力量,當 Uruz 出現於正位時，代表「力量」的能量正悄悄地影響你。,內在的生命力正在甦醒。你擁有足夠的原始能量去突破障礙，只需要選擇相信自己的力量。,用身體行動來強化意志，例如運動、創建、或挑戰新的事物。不要只停留在思考，現在是做的時候了。
Uruz（烏魯茲）,逆位,力量,當 Uruz 出現於逆位時，代表「力量」的能量正悄悄地影響你。,你可能感到力不從心，或陷入拖延與恐懼。能量被封鎖，不代表你無能，而是需要重新找回自己的節奏。,允許自己休息，並尋找能夠重新點燃你熱情的小事。從微小的行動中重新拾回主導感。
Thurisaz（圖里薩茲）,正位,保護,當 Thurisaz 出現於正位時，代表「保護」的能量正悄悄地影響你。,你正站在一個重要的門口。力量與挑戰並存，現在是時候保護自己的界線，同時準備迎接變化。,在做重大決定前，給自己一個停頓的空間。檢視你是否出於衝動，還是經過清晰思考。智慧地使用你的力量。
Thurisaz（圖里薩茲）,逆位,保護,當 Thurisaz 出現於逆位時，代表「保護」的能量正悄悄地影響你。,你可能會面對他人或內心的對抗。此時，與其防守，不如反思自己的底線。,放下防衛態度，檢視是否有未解的內心衝突需要面對。放下堅持，以開放心態重新定義界限。
Ansuz（安蘇茲）,正位,智慧,當 Ansuz 出現於正位時，代表「智慧」的能量正悄悄地影響你。,你內心正渴望被理解，也正在醞釀一些尚未說出口的訊息。此刻，你的直覺在引導你向內傾聽，或將真實的自己表達出來。,寫下你此刻最深的感受，不用修飾。若有人願意傾聽，就說出口。今天是適合傾訴、交流、或靜心接收靈感的時刻。
Ansuz（安蘇茲）,逆位,智慧,當 Ansuz 出現於逆位時，代表「智慧」的能量正悄悄地影響你。,你可能感到被誤解，或說出的話不被聽見。這代表你與內在的連結需要重新校準。,練習傾聽而非急著表達，也觀察是否有話沒對真正的人說。重建溝通前，請先聽聽內在的聲音。
Raidho（雷多）,正位,旅程,當 Raidho 出現於正位時，代表「旅程」的能量正悄悄地影響你。,當 Raidho 出現於正位時，代表「旅程」的能量正悄悄地影響你。你正在向某個新的目標或地方邁進，這是踏上人生之路的時刻。,面對「旅程」的能量，試著主動調整你的心態與步伐。準備好迎接新挑戰，並享受過程中的每一刻。
Raidho（雷多）,逆位,旅程,當 Raidho 出現於逆位時，代表「旅程」的能量正悄悄地影響你。,當 Raidho 出現於逆位時，可能意味著你的旅程被阻擋或受到迷茫，感到方向不明。,面對「旅程」的能量，試著主動調整你的心態與步伐。放下不確定，重新回顧你的初衷與目標，讓心中再次清晰。
Kenaz（凱納茲）,正位,啟示,當 Kenaz 出現於正位時，代表「啟示」的能量正悄悄地影響你。,一盞光正在你的心中點亮。你將獲得洞見、創意或靈感，照亮原本模糊的方向。,把注意力放在你熱愛的創造或探索上，讓靈光自然引導你前進。
Kenaz（凱納茲）,逆位,啟示,當 Kenaz 出現於逆位時，代表「啟示」的能量正悄悄地影響你。,你可能感到靈感枯竭，或心中的火光變得微弱。不要責怪自己，只是暫時的靜默期。,關掉外界的噪音，好好休息、閱讀或整理環境，重新點燃你的內在之火。
Gebo（給博）,正位,禮物,當 Gebo 出現於正位時，代表「禮物」的能量正悄悄地影響你。,你正處在互惠與連結的流動中。給出與接收的能量正逐漸平衡。,向某人表達感謝，或回應一份善意。與人互動時，保持真誠與界線並存。
Gebo（給博）,逆位,禮物,當 Gebo 出現於逆位時，代表「禮物」的能量正悄悄地影響你。,你可能在過度付出或依賴中失去了平衡，提醒你重新評估關係中的能量流向。,停止單方面的耗損，問問自己：「這份付出是出於愛，還是恐懼？」
Wunjo（溫喬）,正位,喜悅,當 Wunjo 出現於正位時，代表「喜悅」的能量正悄悄地影響你。,喜悅的能量正在靠近你，也許是一段關係的和諧、內在的圓滿，或來自生命的小確幸。,擁抱當下，讓快樂自然湧現，不需要理由。與人分享你的好消息或善意微笑吧！
Wunjo（溫喬）,逆位,喜悅,當 Wunjo 出現於逆位時，代表「喜悅」的能量正悄悄地影響你。,你可能感到情緒低落，或失去了原本的熱情。這是提醒你照顧心靈的信號。,給自己一點柔軟的陪伴，做些會讓你微笑的小事。不用勉強快樂，只要允許自己慢慢修復。
Hagalaz（哈加拉茲）,正位,混亂,當 Hagalaz 出現於正位時，代表「混亂」的能量正悄悄地影響你。,你正處於一場能量轉化的暴風中心。雖然混亂難以掌控，但它帶來的是淨化與重建的契機。,允許自己感受不穩定，暫時放下掌控慾。與其抗拒，不如觀察——混亂過後，你將更清楚自己真正需要什麼。
Hagalaz（哈加拉茲）,逆位,混亂,當 Hagalaz 出現於逆位時，代表「混亂」的能量正悄悄地影響你。,有些事情正在潛伏變動中，你也許不願正視這場混亂，但逃避可能使局面更加劇烈。,面對你正在壓抑或否認的變化，先從處理內在恐懼開始。這會讓你更平靜地迎接真正的轉化。
Nauthiz（瑙西茲）,正位,需求,當 Nauthiz 出現於正位時，代表「需求」的能量正悄悄地影響你。,你正在鍛鍊自己的耐力與意志力，雖然艱辛，但這段歷程正淬鍊你的靈魂。,專注處理當下的限制，不逃避，學習從中獲得力量。
Nauthiz（瑙西茲）,逆位,需求,當 Nauthiz 出現於逆位時，代表「需求」的能量正悄悄地影響你。,你可能陷入過度壓抑或否認自身需求的狀態。,停下來聽聽你真正的渴望，接納自己的脆弱是釋放的開始。
Isa（伊薩）,正位,停滯,當 Isa 出現於正位時，代表「停滯」的能量正悄悄地影響你。,現在是停下來的時刻。進展雖然緩慢，卻讓你有機會內省與穩定。,不要急於行動。轉而整理內部狀態，等待冰雪融化之時。
Isa（伊薩）,逆位,停滯,當 Isa 出現於逆位時，代表「停滯」的能量正悄悄地影響你。,你可能陷入僵局或頑固中無法流動。這是一個呼喚柔軟與轉變的時刻。,放下固執的想法，試著從他人的角度理解事情。讓僵局鬆動的第一步是「願意」。
Jera（耶拉）,正位,收成,當 Jera 出現於正位時，代表「收成」的能量正悄悄地影響你。,你正處於收穫的時刻，過去的努力和投入將帶來豐碩的成果。,現在是結束舊事並向新階段邁進的時刻。計劃一個新開始，讓自己保持開放與積極。
Jera（耶拉）,逆位,收成,當 Jera 出現於逆位時，代表「收成」的能量正悄悄地影響你。,你可能還未看到你付出努力的成果，這代表要再堅持一段時間。,不要灰心，堅持你的信念，準備迎接最後的成果。不要放棄，正向思考與行動會幫助你。
Eihwaz（艾瓦茲）,正位,轉化,當 Eihwaz 出現於正位時，代表「轉化」的能量正悄悄地影響你。,你擁有深層的韌性與保護力，內在的力量正在沉穩地守護你。,信任自己的靈性直覺，不需要急於行動，穩定才是你此刻最強的力量。
Eihwaz（艾瓦茲）,逆位,轉化,當 Eihwaz 出現於逆位時，代表「轉化」的能量正悄悄地影響你。,你可能對外界的變化感到恐懼，或懷疑自己的保護是否足夠。,重建你的能量邊界，將注意力拉回自己，不讓他人情緒擾亂你。
Perthro（佩索）,正位,命運,當 Perthro 出現於正位時，代表「命運」的能量正悄悄地影響你。,命運之骰已擲出，宇宙正在編排一場隱藏的契機，等待你揭曉。,打開內在感知，靜下心接收來自夢境、直覺或巧合的訊息。答案會在時機成熟時浮現。
Perthro（佩索）,逆位,命運,當 Perthro 出現於逆位時，代表「命運」的能量正悄悄地影響你。,事情可能出現不可預期的結果。你正處於命運考驗的迴圈中。,不要急著控制未知，放下想要「知道全部」的焦慮，與命運同行是一場信任的修煉。
Algiz（艾爾吉茲）,正位,守護,當 Algiz 出現於正位時，代表「守護」的能量正悄悄地影響你。,你正處於保護與護佑的能量場中。這張符文強烈提醒你，當你進入新的階段時，保持警覺，保護自己。,加強對自身的防護，不僅是物理層面，還包括情感與心理上的防線。若有需要，尋求專業協助。
Algiz（艾爾吉茲）,逆位,守護,當 Algiz 出現於逆位時，代表「守護」的能量正悄悄地影響你。,你可能感覺到被孤立或缺乏保護。在危機時期，這張符文顯示出你的脆弱性，需要更多的安全感。,尋找並創造一個安全的環境，並讓自己慢慢恢復。這是一個回到自己內心的時刻，與信任的朋友或家人共度。
Sowilo（索維羅）,正位,成功,當 Sowilo 出現於正位時，代表「成功」的能量正悄悄地影響你。,你正處於能量的高峰，光明與清晰的思維正在指引你前行。,自信地邁出下一步，無論是選擇還是決定，都應該依賴你清晰的內心感覺。
Sowilo（索維羅）,逆位,成功,當 Sowilo 出現於逆位時，代表「成功」的能量正悄悄地影響你。,你或許正處於迷茫中，失去了方向。光明似乎暫時隱去，需要更多的耐心。,面對不確定性，保持內心的堅定，信任自己，光明總會再現。
Tiwaz（提瓦茲）,正位,正義,當 Tiwaz 出現於正位時，代表「正義」的能量正悄悄地影響你。,此刻是展現勇氣、智慧與決心的時候，勇於面對難題，挑戰自我。,相信自己的價值與智慧，踏上新的冒險或挑戰，這將帶來成長與勝利。
Tiwaz（提瓦茲）,逆位,正義,當 Tiwaz 出現於逆位時，代表「正義」的能量正悄悄地影響你。,你可能會覺得自己的力量不足，或是正面臨挑戰，但這並非終點。,面對挑戰時，保持冷靜，學習從錯誤中汲取教訓，並以堅定的信念繼續前行。
Berkano（貝爾卡諾）,正位,誕生,當 Berkano 出現於正位時，代表「誕生」的能量正悄悄地影響你。,你處於一個成長與重生的過程中。這張符文表示新的開始，內心的力量在重建過去的軌跡。,放手過去，擁抱新生。此時的你有能力創造新的機會與改變，不必懷疑自己的能力。
Berkano（貝爾卡諾）,逆位,誕生,當 Berkano 出現於逆位時，代表「誕生」的能量正悄悄地影響你。,重生的過程可能帶來痛苦與掙扎，這時候需要面對過去的傷痛，才能迎接新生。,不需要強迫自己過早放下。給自己時間療癒，並以愛與包容的心態重新接納自己。
Ehwaz（艾瓦茲）,正位,變動,當 Ehwaz 出現於正位時，代表「變動」的能量正悄悄地影響你。,當 Ehwaz 出現於正位時，代表「變動」的能量正悄悄地影響你。這是一個進入新階段、重新規劃目標的好時機，允許自己隨著變化成長。,面對「變動」的能量，試著主動調整你的心態與步伐。接受生活中的變遷，並開始計劃下個步驟，讓自己順勢而為。
Ehwaz（艾瓦茲）,逆位,變動,當 Ehwaz 出現於逆位時，代表「變動」的能量正悄悄地影響你。,當 Ehwaz 出現於逆位時，可能暗示著變動的能量被阻礙，或你感到難以適應現有的變化。此時需要內省與適應，找到對應的平衡。,面對「變動」的能量，試著主動調整你的心態與步伐。正視自己對變化的恐懼，並重新檢視內在的阻力，讓自己放下對未知的過度擔憂。
Mannaz（曼納茲）,正位,人際,當 Mannaz 出現於正位時，代表「人際」的能量正悄悄地影響你。,當 Mannaz 出現於正位時，代表「人際」的能量正悄悄地影響你。你與他人之間的聯繫正處於深刻的轉化過程中。這是與他人建立正向關係的時刻。,面對「人際」的能量，試著主動調整你的心態與步伐。改善溝通，打開自己的心扉，並在關係中展現更多理解與包容。
Mannaz（曼納茲）,逆位,人際,當 Mannaz 出現於逆位時，代表「人際」的能量正悄悄地影響你。,當 Mannaz 出現於逆位時，代表「人際」的能量遭遇挑戰。你可能感到孤立或與他人的溝通受到阻礙。這提醒你檢視自己與他人關係中的盲點。,面對「人際」的能量，試著主動調整你的心態與步伐。正視當前的隔閡，並做出改變。或許是與某人進行深入的對話，或改變自己對待他人和情境的態度。
Laguz（拉古茲）,正位,直覺,當 Laguz 出現於正位時，代表「直覺」的能量正悄悄地影響你。,當 Laguz 出現於正位時，代表「直覺」的能量正悄悄地影響你。你開始學會依賴內在的直覺，感知生命的流動。,面對「直覺」的能量，試著主動調整你的心態與步伐。信任你的內在感覺，並讓自己順勢而為。
Laguz（拉古茲）,逆位,直覺,當 Laguz 出現於逆位時，代表「直覺」的能量正悄悄地影響你。,當 Laguz 出現於逆位時，代表直覺的能量被封鎖，或許是你過度理性或拒絕相信自己的感知。,面對「直覺」的能量，試著主動調整你的心態與步伐。回到安靜的地方，重新對自己開放，聽見心中的聲音。
Ingwaz（英瓦茲）,正位,內在力量,當 Ingwaz 出現於正位時，代表「內在力量」的能量正悄悄地影響你。,當 Ingwaz 出現於正位時，代表「內在力量」的能量正悄悄地影響你。你準備好發揮內在潛力，進入新的成長階段。,面對「內在力量」的能量，試著主動調整你的心態與步伐。建立穩固的基礎，並為新目標做準備。
Ingwaz（英瓦茲）,逆位,內在力量,當 Ingwaz 出現於逆位時，代表「內在力量」的能量正悄悄地影響你。,當 Ingwaz 出現於逆位時，可能代表你的內在力量被抑制或被其他情緒障礙阻礙。此時是釋放內在阻力的時候。,面對「內在力量」的能量，試著主動調整你的心態與步伐。放下過去的包袱，允許自己的力量再次流動。
Dagaz（達加茲）,正位,突破,當 Dagaz 出現於正位時，代表「突破」的能量正悄悄地影響你。,當 Dagaz 出現於正位時，代表「突破」的能量正悄悄地影響你。你即將突破過去的局限，迎來新的曙光。,面對「突破」的能量，試著主動調整你的心態與步伐。保持開放，擁抱變化，並對未來充滿信心。
