符文名稱,正逆位,關鍵字,解釋語句,心靈指引,行動建議
ᚠ Fehu（費胡）,正位,財富,當 Fehu 出現於正位時，代表「財富」的能量正悄悄地影響你。,想像你站在金色牧場的邊緣，牛群正向你走來──那是宇宙賜予的資源與豐盛。你內在的吸引力正在發光，而這份豐盛也需要被珍惜與善用。,寫下一件你最近獲得的好運與支持，並思考你可以怎麼把這份祝福流動出去──是幫助朋友、支持計劃，或只是說一句溫暖的話。
ᚠ Fehu（費胡）,逆位,財富,當 Fehu 出現於逆位時，代表「財富」的能量正悄悄地影響你。,你像是拿著破洞口袋的旅人，怎麼裝也留不住心中的價值。這提醒你重新思考真正的豐盛從哪裡來，而非只是外在的物質。,今天花點時間盤點資源（金錢、時間、精力），選擇停止那些讓你消耗卻無回報的事。練習對自己說：夠了。
ᚢ Uruz（烏魯茲）,正位,力量,當 Uruz 出現於正位時，代表「力量」的能量正悄悄地影響你。,你體內沉睡的野性正在甦醒，如同春天破土的種子般，力量正醞釀著新的突破與行動。,讓身體動起來——不管是散步、舞動還是大聲說出一個渴望。今天，行動會為你帶來更多自信與力量。
ᚢ Uruz（烏魯茲）,逆位,力量,當 Uruz 出現於逆位時，代表「力量」的能量正悄悄地影響你。,你可能像被困住的野獸，在恐懼與疲憊中失去了方向。這並不表示你無能，而是提醒你該停下來，重新整合能量。,今天試著什麼都不做五分鐘，只是呼吸並傾聽身體的聲音。你需要的答案，藏在這份停頓之中。
ᚦ Thurisaz（圖里薩茲）,正位,保護,當 Thurisaz 出現於正位時，代表「保護」的能量正悄悄地影響你。,你正站在一道閘門之前，守門的荊棘不代表阻礙，而是提醒你：進入前必須帶著意識與力量。,別急著做決定。寫下當前挑戰，畫出你的內在界線。你會知道該保護什麼，也會知道該迎向什麼。
ᚦ Thurisaz（圖里薩茲）,逆位,保護,當 Thurisaz 出現於逆位時，代表「保護」的能量正悄悄地影響你。,你可能感到被卡住，像是每跨一步就被自己刺到。這不是錯誤，而是潛意識想你停下腳步。,花時間察覺「內在衝突」的聲音，寫下它們對你說了什麼。接納它，而非對抗它。你的防禦其實也想保護你。
ᚨ Ansuz（安蘇茲）,正位,智慧,當 Ansuz 出現於正位時，代表「智慧」的能量正悄悄地影響你。,一則訊息正悄悄接近你──它來自你的直覺、夢境、或某個看似偶然的對話。這是與神聖智慧連結的時刻。,今天打開感官。觀察生活中出現的重複訊號、靈感或直覺閃現。用筆記或錄音記下來，它們正為你指引方向。
ᚨ Ansuz（安蘇茲）,逆位,智慧,當 Ansuz 出現於逆位時，代表「智慧」的能量正悄悄地影響你。,言語變得模糊、溝通失焦。你內心的訊息可能被噪音覆蓋了。這是時候安靜下來，重新連線自己的真實聲音。,今天練習靜心三分鐘，不與外界連結，只聽見自己的心跳與呼吸。再問自己：此刻我真正想說的是什麼？
 Raidho（雷多）,正位,旅程,當 Raidho 出現於正位時，代表「旅程」的能量正悄悄地影響你。,你正啟程或正站在改變的門口。這趟旅程既是外在的移動，也是內在的轉化旅程。,今天畫出一條象徵你當前旅程的線，寫下你想前往的下一站與動機。不要只是走，而是有意識地前進。
 Raidho（雷多）,逆位,旅程,當 Raidho 出現於逆位時，代表「旅程」的能量正悄悄地影響你。,旅程的車輪暫時停頓，你可能感到混亂或失去了方向。這是宇宙提醒你暫停調整，不是終止旅途，而是準備轉向。,今天拿出紙筆，寫下你最近的生活節奏和方向感，並畫一張象徵『迷路後重新導航』的圖像。這是一場更深的內在旅程，讓你重新找回自己的地圖。
